type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.0000,0.0000,0.0000,0,0,18,0.0000,0.0000,0.0000,0,0,18
DATE,0.0000,0.0000,0.0000,0,0,97,0.0000,0.0000,0.0000,0,0,97
EMAIL,0.0000,0.0000,0.0000,0,0,90,0.0000,0.0000,0.0000,0,0,90
IBAN,0.0000,0.0000,0.0000,0,0,26,0.0000,0.0000,0.0000,0,0,26
LOCATION,0.4051,0.4476,0.4252,64,94,79,0.6519,0.7203,0.6844,103,55,40
ORG,0.2656,0.6598,0.3787,64,177,33,0.3195,0.7938,0.4556,77,164,20
PERSON,0.6743,0.5021,0.5756,118,57,117,0.7943,0.5915,0.6780,139,36,96
PHONE,0.0000,0.0000,0.0000,0,0,39,0.0000,0.0000,0.0000,0,0,39
