doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.7544,0.8958,0.8190,0.7719,0.9167,0.8381,129,42,15
Forms / Structured Documents,0.6618,0.7895,0.7200,0.8689,0.9298,0.8983,45,23,12
HR Documents / Communications,0.5433,0.7340,0.6244,0.7719,0.9362,0.8462,69,58,25
Internal Communications,0.7424,0.8305,0.7840,0.8710,0.9153,0.8926,98,34,20
Policy / Procedure / Contract,0.7692,0.8725,0.8176,0.8773,0.9597,0.9167,130,39,19
Reports (Financial / Incident / Audit),0.8316,0.8634,0.8472,0.8632,0.8962,0.8794,158,32,25
