doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.8897,0.8958,0.8927,0.9103,0.9167,0.9135,129,16,15
Forms / Structured Documents,0.6923,0.7895,0.7377,0.8966,0.9123,0.9043,45,20,12
HR Documents / Communications,0.6053,0.7340,0.6635,0.8713,0.9362,0.9026,69,45,25
Internal Communications,0.7424,0.8305,0.7840,0.8710,0.9153,0.8926,98,34,20
Policy / Procedure / Contract,0.7692,0.8725,0.8176,0.8773,0.9597,0.9167,130,39,19
Reports (Financial / Incident / Audit),0.8360,0.8634,0.8495,0.8677,0.8962,0.8817,158,31,25
