type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.6667,0.6667,0.6667,12,6,6,0.6667,0.6667,0.6667,12,6,6
DATE,0.8447,0.8969,0.8700,87,16,10,0.8835,0.9381,0.9100,91,12,6
EMAIL,0.9167,0.9778,0.9462,88,8,2,0.9271,0.9889,0.9570,89,7,1
IBAN,0.9286,1.0000,0.9630,26,2,0,0.9286,1.0000,0.9630,26,2,0
LOCATION,0.4765,0.4965,0.4863,71,78,72,0.8512,0.7203,0.7803,103,18,40
ORG,0.3750,0.7732,0.5051,75,125,22,0.3850,0.7938,0.5185,77,123,20
PERSON,0.7126,0.5277,0.6064,124,50,111,0.7989,0.5915,0.6797,139,35,96
PHONE,0.7568,0.7179,0.7368,28,9,11,0.8108,0.7692,0.7895,30,7,9
