doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.7778,0.7778,0.7778,0.8194,0.8194,0.8194,112,32,32
Forms / Structured Documents,0.5211,0.6491,0.5781,0.6667,0.7719,0.7154,37,34,20
HR Documents / Communications,0.5310,0.6383,0.5797,0.7228,0.7766,0.7487,60,53,34
Internal Communications,0.5667,0.4322,0.4904,0.7176,0.5169,0.6010,51,39,67
Policy / Procedure / Contract,0.5784,0.7919,0.6686,0.6616,0.8792,0.7550,118,86,31
Reports (Financial / Incident / Audit),0.7268,0.7268,0.7268,0.7650,0.7650,0.7650,133,50,50
