type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.6667,0.6667,0.6667,12,6,6,0.6667,0.6667,0.6667,12,6,6
DATE,0.8447,0.8969,0.8700,87,16,10,0.8835,0.9381,0.9100,91,12,6
EMAIL,0.9167,0.9778,0.9462,88,8,2,0.9271,0.9889,0.9570,89,7,1
IBAN,0.9286,1.0000,0.9630,26,2,0,0.9286,1.0000,0.9630,26,2,0
LOCATION,0.0000,0.0000,0.0000,0,0,143,0.0000,0.0000,0.0000,0,0,143
ORG,0.0000,0.0000,0.0000,0,0,97,0.0000,0.0000,0.0000,0,0,97
PERSON,0.0000,0.0000,0.0000,0,0,235,0.0000,0.0000,0.0000,0,0,235
PHONE,0.7568,0.7179,0.7368,28,9,11,0.8108,0.7692,0.7895,30,7,9
