doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.8706,0.5139,0.6463,0.8706,0.5139,0.6463,74,11,70
Forms / Structured Documents,0.8519,0.4035,0.5476,0.8519,0.4035,0.5476,23,4,34
HR Documents / Communications,0.9535,0.4362,0.5985,0.9535,0.4362,0.5985,41,2,53
Internal Communications,0.6667,0.0847,0.1504,0.6667,0.0847,0.1504,10,5,108
Policy / Procedure / Contract,0.8039,0.2752,0.4100,0.8824,0.3020,0.4500,41,10,108
Reports (Financial / Incident / Audit),0.8525,0.2842,0.4262,0.9016,0.3005,0.4508,52,9,131
