type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.3529,0.6667,0.4615,12,22,6,0.3529,0.6667,0.4615,12,22,6
DATE,0.8447,0.8969,0.8700,87,16,10,0.8835,0.9381,0.9100,91,12,6
EMAIL,0.9167,0.9778,0.9462,88,8,2,0.9271,0.9889,0.9570,89,7,1
IBAN,0.9286,1.0000,0.9630,26,2,0,0.9286,1.0000,0.9630,26,2,0
LOCATION,0.4270,0.5315,0.4735,76,102,67,0.6461,0.8042,0.7165,115,63,28
ORG,0.3349,0.7526,0.4635,73,145,24,0.3807,0.8557,0.5270,83,135,14
PERSON,0.7158,0.5787,0.6400,136,54,99,0.8737,0.7064,0.7812,166,24,69
PHONE,0.4375,0.7179,0.5437,28,36,11,0.4844,0.7949,0.6019,31,33,8
