doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.6977,0.8333,0.7595,0.7151,0.8542,0.7785,120,52,24
Forms / Structured Documents,0.5570,0.7719,0.6471,0.7324,0.9123,0.8125,44,35,13
HR Documents / Communications,0.4593,0.6596,0.5415,0.6148,0.7979,0.6944,62,73,32
Internal Communications,0.5741,0.5254,0.5487,0.6961,0.6017,0.6455,62,46,56
Policy / Procedure / Contract,0.6754,0.8658,0.7588,0.7676,0.9530,0.8503,129,62,20
Reports (Financial / Incident / Audit),0.7354,0.7596,0.7473,0.7937,0.8197,0.8065,139,50,44
