type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.6000,0.1667,0.2609,3,2,15,0.6000,0.1667,0.2609,3,2,15
DATE,0.8034,0.9691,0.8785,94,23,3,0.8120,0.9794,0.8879,95,22,2
EMAIL,0.2069,0.0667,0.1008,6,23,84,0.4138,0.1333,0.2017,12,17,78
IBAN,0.3968,0.9615,0.5618,25,38,1,0.3968,0.9615,0.5618,25,38,1
LOCATION,0.7881,0.8322,0.8095,119,32,24,0.9348,0.9021,0.9181,129,9,14
ORG,0.6500,0.9381,0.7679,91,49,6,0.6547,0.9381,0.7712,91,48,6
PERSON,0.7370,0.9064,0.8130,213,76,22,0.7465,0.9149,0.8222,215,73,20
PHONE,0.6154,0.6154,0.6154,24,15,15,0.6154,0.6154,0.6154,24,15,15
