type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.0000,0.0000,0.0000,0,0,18,0.0000,0.0000,0.0000,0,0,18
DATE,0.0000,0.0000,0.0000,0,0,97,0.0000,0.0000,0.0000,0,0,97
EMAIL,0.0000,0.0000,0.0000,0,0,90,0.0000,0.0000,0.0000,0,0,90
IBAN,0.0000,0.0000,0.0000,0,0,26,0.0000,0.0000,0.0000,0,0,26
LOCATION,0.4733,0.4965,0.4846,71,79,72,0.8512,0.7203,0.7803,103,18,40
ORG,0.3606,0.7732,0.4918,75,133,22,0.3702,0.7938,0.5049,77,131,20
PERSON,0.7086,0.5277,0.6049,124,51,111,0.7943,0.5915,0.6780,139,36,96
PHONE,0.0000,0.0000,0.0000,0,0,39,0.0000,0.0000,0.0000,0,0,39
