type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.3529,0.6667,0.4615,12,22,6,0.3529,0.6667,0.4615,12,22,6
DATE,0.8447,0.8969,0.8700,87,16,10,0.8835,0.9381,0.9100,91,12,6
EMAIL,0.9167,0.9778,0.9462,88,8,2,0.9271,0.9889,0.9570,89,7,1
IBAN,0.9286,1.0000,0.9630,26,2,0,0.9286,1.0000,0.9630,26,2,0
LOCATION,0.4076,0.4476,0.4267,64,93,79,0.6561,0.7203,0.6867,103,54,40
ORG,0.2747,0.6598,0.3879,64,169,33,0.3305,0.7938,0.4667,77,156,20
PERSON,0.6782,0.5021,0.5770,118,56,117,0.7989,0.5915,0.6797,139,35,96
PHONE,0.4375,0.7179,0.5437,28,36,11,0.4844,0.7949,0.6019,31,33,8
