doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.6588,0.7778,0.7134,0.6941,0.8194,0.7516,112,58,32
Forms / Structured Documents,0.5000,0.6491,0.5649,0.6522,0.7895,0.7143,37,37,20
HR Documents / Communications,0.4762,0.6383,0.5455,0.6404,0.7766,0.7019,60,66,34
Internal Communications,0.5667,0.4322,0.4904,0.7176,0.5169,0.6010,51,39,67
Policy / Procedure / Contract,0.5784,0.7919,0.6686,0.6616,0.8792,0.7550,118,86,31
Reports (Financial / Incident / Audit),0.7228,0.7268,0.7248,0.7609,0.7650,0.7629,133,51,50
