type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.7500,0.6667,0.7059,12,4,6,0.7500,0.6667,0.7059,12,4,6
DATE,0.8500,0.8763,0.8629,85,15,12,0.8900,0.9175,0.9036,89,11,8
EMAIL,0.9158,0.9667,0.9405,87,8,3,0.9263,0.9778,0.9514,88,7,2
IBAN,1.0000,1.0000,1.0000,26,0,0,1.0000,1.0000,1.0000,26,0,0
LOCATION,0.8299,0.8531,0.8414,122,25,21,0.9630,0.9091,0.9353,130,5,13
ORG,0.8318,0.9175,0.8725,89,18,8,0.8505,0.9381,0.8922,91,16,6
PERSON,0.9398,0.8638,0.9002,203,13,32,0.9859,0.8936,0.9375,210,3,25
PHONE,0.8182,0.6923,0.7500,27,6,12,0.8788,0.7436,0.8056,29,4,10
