type,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,0.4138,0.6667,0.5106,12,17,6,0.4138,0.6667,0.5106,12,17,6
DATE,0.8500,0.8763,0.8629,85,15,12,0.8900,0.9175,0.9036,89,11,8
EMAIL,0.9158,0.9667,0.9405,87,8,3,0.9263,0.9778,0.9514,88,7,2
IBAN,1.0000,1.0000,1.0000,26,0,0,1.0000,1.0000,1.0000,26,0,0
LOCATION,0.5652,0.6364,0.5987,91,70,52,0.9685,0.8601,0.9111,123,4,20
ORG,0.6549,0.9588,0.7782,93,49,4,0.6620,0.9691,0.7866,94,48,3
PERSON,0.8908,0.8681,0.8793,204,25,31,0.9694,0.9447,0.9569,222,7,13
PHONE,0.4576,0.6923,0.5510,27,32,12,0.5085,0.7692,0.6122,30,29,9
