type,strict_fp_before,strict_fp_after,strict_fp_delta,strict_precision_before,strict_precision_after,strict_precision_delta,strict_recall_before,strict_recall_after,strict_recall_delta,relaxed_fp_before,relaxed_fp_after,relaxed_fp_delta,relaxed_precision_before,relaxed_precision_after,relaxed_precision_delta,relaxed_recall_before,relaxed_recall_after,relaxed_recall_delta
EMAIL,8,8,0,0.9167,0.9158,-0.0009,0.9778,0.9667,-0.0111,7,7,0,0.9271,0.9263,-0.0008,0.9889,0.9778,-0.0111
PHONE,36,32,-4,0.4375,0.4576,0.0201,0.7179,0.6923,-0.0256,33,29,-4,0.4844,0.5085,0.0241,0.7949,0.7692,-0.0257
DATE,16,15,-1,0.8447,0.8500,0.0053,0.8969,0.8763,-0.0206,12,11,-1,0.8835,0.8900,0.0065,0.9381,0.9175,-0.0206
CREDIT_CARD,22,17,-5,0.3529,0.4138,0.0609,0.6667,0.6667,0.0000,22,17,-5,0.3529,0.4138,0.0609,0.6667,0.6667,0.0000
IBAN,2,0,-2,0.9286,1.0000,0.0714,1.0000,1.0000,0.0000,2,0,-2,0.9286,1.0000,0.0714,1.0000,1.0000,0.0000
