doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.7384,0.8819,0.8038,0.7674,0.9167,0.8354,127,45,17
Forms / Structured Documents,0.6923,0.7895,0.7377,0.8154,0.9298,0.8689,45,20,12
HR Documents / Communications,0.5391,0.7340,0.6216,0.6875,0.9362,0.7928,69,59,25
Internal Communications,0.7111,0.8136,0.7589,0.8000,0.9153,0.8538,96,39,22
Policy / Procedure / Contract,0.6146,0.7919,0.6921,0.7344,0.9463,0.8270,118,74,31
Reports (Financial / Incident / Audit),0.8289,0.8470,0.8378,0.8663,0.8852,0.8757,155,32,28
