doc_type,strict_precision,strict_recall,strict_f1,relaxed_precision,relaxed_recall,relaxed_f1,tp,fp,fn
Emails,0.8727,0.3333,0.4824,0.9259,0.3472,0.5051,48,7,96
Forms / Structured Documents,0.8077,0.3684,0.5060,0.9167,0.3860,0.5432,21,5,36
HR Documents / Communications,0.8136,0.5106,0.6275,0.8596,0.5213,0.6490,48,11,46
Internal Communications,0.8462,0.7458,0.7928,0.9500,0.8051,0.8716,88,16,30
Policy / Procedure / Contract,0.7323,0.6242,0.6739,0.7886,0.6510,0.7132,93,34,56
Reports (Financial / Incident / Audit),0.9512,0.6393,0.7647,0.9593,0.6448,0.7712,117,6,66
